regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_fase_dia_Plena_Noite, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,1.585,0.1249,"[2023, 2024, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,1.564,0.1241,"[2023, 2024, 2026]"
"ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_Fatal",3,4,0.75,estavel,1.5547,0.1225,"[2023, 2025, 2026]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_tracado_via_Reta => desfecho_Fatal",2,4,0.5,estavel,1.5539,0.1235,"[2023, 2026]"
"ctx_causa_acidente_Velocidade_Incompatível, ctx_tipo_pista_Simples => desfecho_Fatal",2,4,0.5,estavel,1.5311,0.1184,"[2023, 2025]"
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite => desfecho_Fatal",4,4,1.0,estavel,1.5145,0.1194,"[2023, 2024, 2025, 2026]"
"ctx_tipo_pista_Simples, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,1.5017,0.1182,"[2023, 2025, 2026]"
"ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim => desfecho_Fatal",3,4,0.75,estavel,1.5013,0.1183,"[2023, 2025, 2026]"
"ctx_condicao_metereologica_Nublado, ctx_fim_de_semana_Sim => desfecho_Fatal",2,4,0.5,estavel,1.4974,0.1172,"[2024, 2025]"
"ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_Fatal",4,4,1.0,estavel,1.4968,0.118,"[2023, 2024, 2025, 2026]"
"ctx_fim_de_semana_Sim, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_Fatal",3,4,0.75,estavel,1.4818,0.1177,"[2024, 2025, 2026]"
"ctx_tracado_via_Curva;Declive, ctx_uso_solo_Não => desfecho_Fatal",2,4,0.5,estavel,1.4771,0.1155,"[2023, 2024]"
"ctx_fase_dia_Plena_Noite, ctx_tracado_via_Reta => desfecho_Fatal",2,4,0.5,estavel,1.4275,0.1134,"[2023, 2026]"
"ctx_fim_de_semana_Sim, ctx_tipo_pista_Simples => desfecho_Fatal",4,4,1.0,estavel,1.42,0.1119,"[2023, 2024, 2025, 2026]"
ctx_fase_dia_Plena_Noite => desfecho_Fatal,4,4,1.0,estavel,1.4066,0.1109,"[2023, 2024, 2025, 2026]"
ctx_tracado_via_Curva;Declive => desfecho_Fatal,3,4,0.75,estavel,1.3959,0.1087,"[2023, 2024, 2025]"
"ctx_condicao_metereologica_Chuva, ctx_tipo_pista_Simples => desfecho_Fatal",2,4,0.5,estavel,1.3795,0.1098,"[2023, 2026]"
