regra,n_anos_presente,n_anos_total,freq_relativa,status,lift_medio,confianca_media,anos
"ctx_tipo_pista_Simples, ctx_tracado_via_Declive;Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4808,0.4912,[2024]
"ctx_causa_acidente_Velocidade_Incompatível, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4781,0.4895,[2023]
"ctx_fase_dia_Pleno_dia, ctx_tipo_acidente_Colisão_lateral_sentido_oposto, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4711,0.4872,[2023]
"ctx_fim_de_semana_Não, ctx_tipo_acidente_Colisão_lateral_sentido_oposto => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4517,0.4808,[2023]
"ctx_condicao_metereologica_Sol, ctx_fim_de_semana_Sim, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4493,0.4808,[2024]
"ctx_tipo_acidente_Colisão_lateral_sentido_oposto, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4417,0.4943,[2025]
"ctx_fase_dia_Amanhecer, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4346,0.4918,[2025]
"ctx_tipo_acidente_Colisão_transversal, ctx_tracado_via_Reta, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4314,0.474,[2023]
"ctx_fase_dia_Pleno_dia, ctx_tipo_acidente_Colisão_transversal, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4297,0.4735,[2023]
"ctx_fase_dia_Amanhecer, ctx_fim_de_semana_Não, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4279,0.4895,[2025]
"ctx_condicao_metereologica_Nublado, ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_traseira => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4275,0.4894,[2025]
"ctx_causa_acidente_Ultrapassagem_Indevida, ctx_condicao_metereologica_Céu_Claro => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4223,0.4876,[2025]
"ctx_fase_dia_Anoitecer, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4198,0.4867,[2025]
"ctx_condicao_metereologica_Nublado, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4098,0.4677,[2024]
"ctx_causa_acidente_Condutor_Dormindo, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4091,0.4667,[2023]
"ctx_fase_dia_Plena_Noite, ctx_tipo_acidente_Colisão_transversal, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4091,0.4667,[2023]
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_tipo_acidente_Colisão_transversal, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4072,0.466,[2023]
"ctx_tipo_pista_Simples, ctx_tracado_via_Reta;Declive, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.4028,0.4646,[2023]
"ctx_causa_acidente_Ausência_de_reação_do_condutor, ctx_condicao_metereologica_Nublado, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.3913,0.4615,[2024]
"ctx_condicao_metereologica_Sol, ctx_tipo_pista_Simples, ctx_tracado_via_Reta => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.3913,0.4615,[2024]
"ctx_causa_acidente_Condutor_Dormindo, ctx_condicao_metereologica_Céu_Claro, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.388,0.4597,[2023]
"ctx_causa_acidente_Conversão_proibida, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.3741,0.4711,[2025]
"ctx_tipo_acidente_Colisão_transversal, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.3717,0.4543,[2023]
"ctx_causa_acidente_Acessar_a_via_sem_observar_a_presença_dos_outros_veículos, ctx_fase_dia_Plena_Noite, ctx_tipo_pista_Simples => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.3697,0.4696,[2025]
"ctx_condicao_metereologica_Sol, ctx_tipo_pista_Simples, ctx_uso_solo_Não => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.3688,0.4541,[2024]
"ctx_condicao_metereologica_Céu_Claro, ctx_fase_dia_Plena_Noite, ctx_fim_de_semana_Sim => desfecho_AltaGravidade",1,3,0.333,intermediaria,1.3678,0.453,[2023]
